,Unnamed: 0_x,Código IBGE,Nome do Município,Código UF,UF,Estado,Latitude,Longitude,municipios_tratados,uf_mun_x,uf_mun2,Unnamed: 0_y,UF1,CIDADE1,count,uf_mun_y
0,0.0,5200050.0,Abadia de Goiás,52.0,GO,Goiás,-16.7573,-49.4412,ABADIA DE GOIAS,GO_ABADIA DE GOIAS,GO_ABADIA DE GOIAS,2268,GO,ABADIA DE GOIAS,6590,GO_ABADIA DE GOIAS
1,1.0,3100104.0,Abadia dos Dourados,31.0,MG,Minas Gerais,-18.4831,-47.3916,ABADIA DOS DOURADOS,MG_ABADIA DOS DOURADOS,MG_ABADIA DOS DOURADOS,2846,MG,ABADIA DOS DOURADOS,8085,MG_ABADIA DOS DOURADOS
2,2.0,5200100.0,Abadiânia,52.0,GO,Goiás,-16.197,-48.7057,ABADIANIA,GO_ABADIANIA,GO_ABADIANIA,2269,GO,ABADIANIA,11250,GO_ABADIANIA
3,3.0,3100203.0,Abaeté,31.0,MG,Minas Gerais,-19.1551,-45.4444,ABAETE,MG_ABAETE,MG_ABAETE,2847,MG,ABAETE,27356,MG_ABAETE
4,4.0,1500107.0,Abaetetuba,15.0,PA,Pará,-1.72183,-48.8788,ABAETETUBA,PA_ABAETETUBA,PA_ABAETETUBA,4726,PA,ABAETETUBA,144503,PA_ABAETETUBA
5,5.0,2300101.0,Abaiara,23.0,CE,Ceará,-7.34588,-39.0416,ABAIARA,CE_ABAIARA,CE_ABAIARA,1161,CE,ABAIARA,8396,CE_ABAIARA
6,6.0,2900108.0,Abaíra,29.0,BA,Bahia,-13.2488,-41.6619,ABAIRA,BA_ABAIRA,BA_ABAIRA,342,BA,ABAIRA,8586,BA_ABAIRA
7,7.0,2900207.0,Abaré,29.0,BA,Bahia,-8.72073,-39.1162,ABARE,BA_ABARE,BA_ABARE,343,BA,ABARE,13430,BA_ABARE
8,8.0,4100103.0,Abatiá,41.0,PR,Paraná,-23.3049,-50.3133,ABATIA,PR_ABATIA,PR_ABATIA,5962,PR,ABATIA,8856,PR_ABATIA
9,9.0,4200051.0,Abdon Batista,42.0,SC,Santa Catarina,-27.6126,-51.0233,ABDON BATISTA,SC_ABDON BATISTA,SC_ABDON BATISTA,8286,SC,ABDON BATISTA,3117,SC_ABDON BATISTA
10,10.0,1500131.0,Abel Figueiredo,15.0,PA,Pará,-4.95333,-48.3933,ABEL FIGUEIREDO,PA_ABEL FIGUEIREDO,PA_ABEL FIGUEIREDO,4727,PA,ABEL FIGUEIREDO,6305,PA_ABEL FIGUEIREDO
11,11.0,4200101.0,Abelardo Luz,42.0,SC,Santa Catarina,-26.5716,-52.3229,ABELARDO LUZ,SC_ABELARDO LUZ,SC_ABELARDO LUZ,8287,SC,ABELARDO LUZ,21510,SC_ABELARDO LUZ
12,12.0,3100302.0,Abre Campo,31.0,MG,Minas Gerais,-20.2996,-42.4743,ABRE CAMPO,MG_ABRE CAMPO,MG_ABRE CAMPO,2850,MG,ABRE CAMPO,15876,MG_ABRE CAMPO
13,13.0,2600054.0,Abreu e Lima,26.0,PE,Pernambuco,-7.90072,-34.8984,ABREU E LIMA,PE_ABREU E LIMA,PE_ABREU E LIMA,5307,PE,ABREU E LIMA,92260,PE_ABREU E LIMA
14,14.0,1700251.0,Abreulândia,17.0,TO,Tocantins,-9.62101,-49.1518,ABREULANDIA,TO_ABREULANDIA,TO_ABREULANDIA,9683,TO,ABREULANDIA,2045,TO_ABREULANDIA
15,15.0,3100401.0,Acaiaca,31.0,MG,Minas Gerais,-20.359,-43.1439,ACAIACA,MG_ACAIACA,MG_ACAIACA,2852,MG,ACAIACA,4750,MG_ACAIACA
16,16.0,2100055.0,Açailândia,21.0,MA,Maranhão,-4.94714,-47.5004,ACAILANDIA,MA_ACAILANDIA,MA_ACAILANDIA,2599,MA,ACAILANDIA,115158,MA_ACAILANDIA
17,17.0,2900306.0,Acajutiba,29.0,BA,Bahia,-11.6575,-38.0197,ACAJUTIBA,BA_ACAJUTIBA,BA_ACAJUTIBA,347,BA,ACAJUTIBA,18534,BA_ACAJUTIBA
18,18.0,1500206.0,Acará,15.0,PA,Pará,-1.95383,-48.1985,ACARA,PA_ACARA,PA_ACARA,4728,PA,ACARA,47835,PA_ACARA
19,19.0,2300150.0,Acarape,23.0,CE,Ceará,-4.22083,-38.7055,ACARAPE,CE_ACARAPE,CE_ACARAPE,1163,CE,ACARAPE,12673,CE_ACARAPE
20,20.0,2300200.0,Acaraú,23.0,CE,Ceará,-2.88769,-40.1183,ACARAU,CE_ACARAU,CE_ACARAU,1164,CE,ACARAU,54326,CE_ACARAU
21,21.0,2400109.0,Acari,24.0,RN,Rio Grande do Norte,-6.4282,-36.6347,ACARI,RN_ACARI,RN_ACARI,7125,RN,ACARI,13405,RN_ACARI
22,22.0,2200053.0,Acauã,22.0,PI,Piauí,-8.21954,-41.0831,ACAUA,PI_ACAUA,PI_ACAUA,5732,PI,ACAUA,4239,PI_ACAUA
