uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
AC_ACRELANDIA,11269,0.2573,0.8608,0.0532,2.2451,0.8253,0.0355,95.2968,0.2218,0.0,0.1509,0.0444,0.0089
AC_ASSIS BRASIL,7465,0.1206,1.0449,0.0,1.795,0.2545,0.0268,95.5928,0.8707,0.0134,0.2411,0.0134,0.0268
AC_BRASILEIA,36315,3.018,1.8587,0.0909,18.4194,3.3512,0.0441,71.8463,0.4186,0.1597,0.6554,0.1019,0.0358
AC_BUJARI,6946,0.216,0.6766,0.0144,0.907,0.4175,0.0144,97.495,0.1008,0.0,0.1296,0.0288,0.0
AC_CAPIXABA,6317,0.19,0.9023,0.0158,0.8073,0.3324,0.0158,97.3088,0.2216,0.0,0.1741,0.0158,0.0158
AC_CRUZEIRO DO SUL,93635,0.1666,0.4817,0.0171,0.9014,0.2488,0.032,97.958,0.0694,0.0021,0.1047,0.0117,0.0064
AC_EPITACIOLANDIA,13202,0.2575,0.8787,0.0076,1.9164,0.712,0.0076,95.7961,0.1894,0.0227,0.1818,0.0227,0.0076
AC_FEIJO,28937,0.3318,1.0575,0.0069,0.6635,0.2868,0.038,97.301,0.1417,0.0035,0.1348,0.0207,0.0138
AC_JORDAO,4495,0.178,5.7842,0.0222,1.1346,0.1112,0.0,92.0578,0.1112,0.0445,0.5562,0.0,0.0
AC_MANCIO LIMA,13376,0.0598,0.5233,0.0224,0.927,0.2318,0.0224,98.0712,0.1121,0.0,0.0299,0.0,0.0
AC_MANOEL URBANO,7097,0.1127,0.8877,0.0141,0.93,0.4086,0.0282,97.4214,0.0986,0.0,0.0705,0.0141,0.0141
AC_MARECHAL THAUMATURGO,10338,0.5514,1.1124,0.0097,0.8899,0.503,0.0484,96.6918,0.0387,0.0,0.1548,0.0,0.0
AC_PLACIDO DE CASTRO,16642,0.1923,0.5889,0.0361,1.0816,0.5769,0.1082,97.1338,0.2043,0.0,0.0601,0.006,0.012
AC_PORTO ACRE,10491,0.1049,0.6196,0.0,1.1915,0.4861,0.0095,97.2643,0.1906,0.0095,0.0953,0.0286,0.0
AC_PORTO WALTER,6652,0.0601,0.3307,0.0451,1.5033,0.1654,0.0,97.745,0.0752,0.015,0.0301,0.0301,0.0
AC_RIO BRANCO,385179,0.4741,0.883,0.0506,2.8317,0.7368,0.0309,94.5257,0.1737,0.0467,0.2152,0.019,0.0127
AC_RODRIGUES ALVES,9722,0.072,0.432,0.0,0.4937,0.1543,0.0617,98.6834,0.0411,0.0,0.0514,0.0103,0.0
AC_SANTA ROSA DO PURUS,3465,0.4906,2.3088,0.0577,1.5296,0.4329,0.0,94.6032,0.2309,0.0,0.3463,0.0,0.0
AC_SENA MADUREIRA,38567,0.1167,0.7519,0.0259,1.1875,0.2204,0.0182,97.459,0.0933,0.0026,0.1193,0.0052,0.0
AC_SENADOR GUIOMARD,20981,0.1144,0.6816,0.0572,1.1105,0.3527,0.0334,97.3071,0.1478,0.0095,0.1382,0.0429,0.0048
AC_TARAUACA,36512,0.3013,0.5313,0.0137,0.6491,0.3424,0.0246,97.6802,0.1452,0.0219,0.2821,0.0055,0.0027
AC_XAPURI,18132,0.2978,0.6177,0.0165,0.8548,0.2537,0.0055,97.6009,0.1765,0.0055,0.1489,0.0165,0.0055
AL_AGUA BRANCA,20755,0.6215,0.5011,0.0048,1.4792,0.2216,0.0193,96.902,0.1783,0.0048,0.0675,0.0,0.0
AL_ANADIA,19830,0.232,0.4488,0.0,0.7312,0.348,0.0101,97.8164,0.2471,0.0252,0.1261,0.005,0.0101
AL_ARAPIRACA,233021,0.1991,0.5008,0.0253,1.0956,0.5163,0.0189,97.305,0.2257,0.0073,0.0871,0.009,0.0099
AL_ATALAIA,46090,0.3298,0.4318,0.0195,1.2432,0.4166,0.0391,97.2141,0.1888,0.0087,0.0803,0.0152,0.013
AL_BARRA DE SANTO ANTONIO,15003,0.2866,0.5332,0.0067,1.1064,0.4332,0.0267,97.1806,0.2866,0.0067,0.0933,0.04,0.0
AL_BARRA DE SAO MIGUEL,8750,0.3543,0.4229,0.0114,1.28,0.6171,0.0686,97.0171,0.16,0.0,0.0571,0.0114,0.0
AL_BATALHA,16386,0.0976,0.299,0.0122,1.3243,0.3906,0.0122,97.4735,0.2136,0.0122,0.1282,0.0061,0.0305
AL_BELEM,6636,0.211,0.3315,0.0,0.859,0.437,0.0,97.3478,0.4973,0.0,0.2863,0.0,0.0301
AL_BELO MONTE,6651,0.1654,0.6465,0.0451,8.2093,0.5713,0.015,89.9564,0.2105,0.0451,0.0902,0.0451,0.0
AL_BOCA DA MATA,27921,0.1862,0.351,0.0107,0.9097,0.4011,0.0251,97.8511,0.1648,0.0072,0.0716,0.0072,0.0143
AL_BRANQUINHA,12868,0.1865,0.4196,0.0078,1.663,0.5984,0.0389,96.7205,0.2409,0.0311,0.0622,0.0311,0.0
AL_CACIMBINHAS,12217,0.4747,0.4338,0.0409,1.4406,0.1719,0.0246,96.9878,0.3029,0.0,0.0737,0.0409,0.0082
AL_CAJUEIRO,19780,0.3589,0.5207,0.0303,1.4358,0.546,0.0607,96.633,0.3084,0.0051,0.0708,0.0152,0.0152
AL_CAMPESTRE,6318,0.3957,0.2532,0.0317,2.2634,0.5065,0.0475,96.0431,0.3166,0.0475,0.0158,0.0791,0.0
AL_CAMPO ALEGRE,34083,0.2582,0.4137,0.0264,1.1296,0.5399,0.0235,97.2538,0.2553,0.0029,0.0763,0.0147,0.0059
AL_CAMPO GRANDE,10378,0.3083,0.7034,0.0096,0.9636,0.7805,0.0385,96.6564,0.4625,0.0096,0.0385,0.0096,0.0193
AL_CANAPI,17234,0.3017,0.4932,0.0116,0.7079,0.3714,0.0232,97.6152,0.3017,0.0,0.1683,0.0,0.0058
AL_CAPELA,21383,0.2619,0.3087,0.014,0.9494,0.3274,0.0281,97.8347,0.1777,0.0047,0.0514,0.0281,0.014
AL_CARNEIROS,8288,0.1086,1.098,0.0,0.4464,0.4464,0.0121,97.5507,0.2534,0.0121,0.0362,0.0241,0.0121
AL_CHA PRETA,8133,0.1598,0.3566,0.0,0.6394,0.3443,0.3074,97.836,0.1967,0.0,0.1598,0.0,0.0
AL_COITE DO NOIA,11163,0.3583,0.3583,0.0269,0.7256,0.3852,0.0,97.7605,0.2329,0.009,0.1254,0.009,0.009
AL_COLONIA LEOPOLDINA,20170,0.2181,0.5156,0.0248,1.2494,0.4115,0.0248,97.0402,0.3123,0.0099,0.1785,0.005,0.0099
AL_COQUEIRO SECO,6835,0.1756,0.6437,0.0293,1.1704,0.6584,0.0293,96.8398,0.3219,0.0,0.0732,0.0293,0.0293
AL_CORURIPE,55192,0.2066,0.4783,0.0236,1.2303,0.587,0.038,96.9651,0.2627,0.029,0.1449,0.0163,0.0181
AL_CRAIBAS,23019,0.1955,0.3953,0.0043,1.0383,0.4692,0.0348,97.5585,0.1955,0.0043,0.0825,0.0174,0.0043
AL_DELMIRO GOUVEIA,47065,0.4122,0.5907,0.0127,1.4023,0.3888,0.0297,96.8065,0.2698,0.0064,0.0659,0.0021,0.0127
AL_DOIS RIACHOS,12092,0.2646,0.5293,0.0331,0.6368,0.306,0.0744,97.8581,0.1819,0.0,0.0992,0.0083,0.0083
AL_ESTRELA DE ALAGOAS,14221,0.2039,0.3375,0.007,0.6821,0.2461,0.0844,98.1225,0.211,0.0281,0.0563,0.0141,0.007
AL_FEIRA GRANDE,22304,0.1928,0.556,0.009,1.502,0.8205,0.0224,96.3818,0.3676,0.0314,0.0807,0.0314,0.0045
AL_FELIZ DESERTO,4485,0.3567,1.1817,0.0223,1.8506,0.602,0.0892,95.2731,0.5128,0.0,0.0446,0.0223,0.0446
AL_FLEXEIRAS,12790,0.2502,0.4691,0.0,0.8679,0.4769,0.0313,97.5137,0.2971,0.0,0.0704,0.0156,0.0078
AL_GIRAU DO PONCIANO,30820,0.1525,0.3407,0.0097,0.8858,0.292,0.0097,97.8099,0.3861,0.013,0.0779,0.0065,0.0162
AL_IBATEGUARA,19685,0.1727,0.3962,0.0152,1.3005,0.4674,0.0203,97.2771,0.1829,0.0762,0.061,0.0305,0.0
AL_IGACI,29329,0.1603,0.4739,0.017,1.0706,0.341,0.0307,97.5451,0.2557,0.0034,0.0921,0.0068,0.0034
AL_IGREJA NOVA,22564,0.3058,0.7933,0.0355,1.9411,0.9706,0.0488,95.3377,0.3191,0.0177,0.164,0.0089,0.0576
AL_INHAPI,15388,0.1885,0.5069,0.0195,0.8643,0.2989,0.013,97.6995,0.2274,0.013,0.156,0.0,0.013
AL_JACARE DOS HOMENS,5663,0.1942,0.3708,0.0177,1.8541,0.3355,0.0177,96.7332,0.2825,0.0883,0.053,0.0353,0.0177
AL_JACUIPE,6028,0.3318,0.0995,0.0332,1.3935,0.365,0.0166,97.3457,0.3318,0.0166,0.0664,0.0,0.0
AL_JAPARATINGA,8580,0.1981,0.4895,0.0699,1.1772,0.3147,0.0117,97.3193,0.2914,0.0233,0.0932,0.0117,0.0
AL_JARAMATAIA,5351,0.4298,0.2803,0.0,1.738,0.4859,0.0,96.767,0.2616,0.0,0.0374,0.0,0.0
AL_JEQUIA DA PRAIA,2997,0.2669,0.5005,0.0334,0.9343,0.4671,0.0334,97.3974,0.1335,0.0,0.2002,0.0,0.0334
AL_JOAQUIM GOMES,24824,0.3464,0.5358,0.0121,1.0997,0.7976,0.0282,96.7612,0.3062,0.0081,0.0927,0.004,0.0081
AL_JUNDIA,6967,0.1435,0.5598,0.0144,2.0382,0.2727,0.0431,96.6126,0.244,0.0144,0.0574,0.0,0.0
AL_JUNQUEIRO,32223,0.329,0.6083,0.0559,1.4338,0.6238,0.059,96.3566,0.3134,0.0124,0.1552,0.0341,0.0186
AL_LAGOA DA CANOA,18359,0.1144,0.4358,0.0218,0.8987,0.3922,0.0218,97.8103,0.1471,0.0054,0.1362,0.0,0.0163
AL_LIMOEIRO DE ANADIA,21164,0.2599,0.3686,0.0236,0.9072,0.4205,0.0189,97.5902,0.2977,0.0095,0.0803,0.0142,0.0095
AL_MACEIO,1056269,0.2502,0.5237,0.0281,1.2428,0.5883,0.0334,97.0278,0.1925,0.0088,0.0755,0.0149,0.014
AL_MAJOR ISIDORO,19121,0.2301,0.6067,0.0157,0.6224,0.2249,0.0314,97.997,0.1987,0.0,0.0575,0.0157,0.0
AL_MAR VERMELHO,4502,0.2443,0.1777,0.1111,0.8219,0.3776,0.0,98.0453,0.1555,0.0,0.0666,0.0,0.0
AL_MARAGOGI,24244,0.1114,0.4207,0.0412,1.1838,0.4743,0.0206,97.3519,0.2722,0.0041,0.0742,0.0247,0.0206
AL_MARAVILHA,10707,0.2989,0.5791,0.0467,0.8406,0.3082,0.0374,97.7024,0.1588,0.0,0.028,0.0,0.0
AL_MARECHAL DEODORO,45242,0.1812,0.5017,0.0265,1.2113,0.6432,0.0111,97.0558,0.2409,0.0111,0.0884,0.0111,0.0177
