uf_mun_x,total,AFR,ASI,EST,FRC,GER,GRE,IBR,ITA,JEW,MUS,NOR,RUS
AC_ACRELANDIA,11300,0.2832,0.6637,0.0885,1.7611,1.6814,0.0265,95.3009,0.0442,0.0,0.0885,0.0265,0.0354
AC_ASSIS BRASIL,7469,0.1071,0.7364,0.0,6.8416,0.3883,0.0,90.8689,0.7632,0.0,0.2812,0.0134,0.0
AC_BRASILEIA,38491,3.0942,1.1145,0.0364,26.6582,1.8732,0.039,66.3792,0.2234,0.0624,0.4261,0.0831,0.0104
AC_BUJARI,6962,0.3016,0.4022,0.0287,1.6375,0.1293,0.0,97.3427,0.0575,0.0,0.1005,0.0,0.0
AC_CAPIXABA,6345,0.1891,0.6304,0.0315,0.9456,0.2522,0.0,97.5256,0.3152,0.0,0.1103,0.0,0.0
AC_CRUZEIRO DO SUL,93838,0.1321,0.4177,0.0192,0.584,0.3911,0.0149,98.2587,0.0107,0.0011,0.1609,0.0064,0.0032
AC_EPITACIOLANDIA,13292,0.3009,0.6395,0.0451,1.8131,0.82,0.0075,96.1631,0.0301,0.015,0.1429,0.0226,0.0
AC_FEIJO,29327,0.2864,2.4517,0.017,0.416,0.9445,1.3673,91.472,0.0375,0.0,3.0041,0.0034,0.0
AC_JORDAO,4500,0.1778,1.2889,0.0222,0.6222,0.1556,0.0444,70.2444,0.0667,0.0,27.3778,0.0,0.0
AC_MANCIO LIMA,13398,0.0075,0.8061,0.0,0.515,0.1045,0.0,98.4774,0.0149,0.0,0.0672,0.0075,0.0
AC_MANOEL URBANO,7212,0.1803,3.5358,0.0,0.9706,0.3882,0.0,92.0133,0.0416,0.0,2.8702,0.0,0.0
AC_MARECHAL THAUMATURGO,10489,0.2669,3.5561,0.0,0.3909,0.286,0.0477,92.23,0.0095,0.0,3.1938,0.0191,0.0
AC_PLACIDO DE CASTRO,16657,0.1801,0.6604,0.018,0.7144,0.9185,0.006,97.2984,0.042,0.0,0.1441,0.012,0.006
AC_PORTO ACRE,10533,0.076,0.6456,0.0,1.0538,0.3133,0.0,97.4651,0.3228,0.019,0.0665,0.038,0.0
AC_PORTO WALTER,6663,0.0,0.5853,0.0,0.5103,0.015,0.0,98.8444,0.0,0.0,0.045,0.0,0.0
AC_RIO BRANCO,388106,0.5086,0.7622,0.0492,3.5052,0.6382,0.0276,94.1477,0.0688,0.0343,0.2218,0.0193,0.017
AC_RODRIGUES ALVES,9740,0.0103,0.4107,0.0205,0.4928,0.0513,0.0719,98.8706,0.0103,0.0,0.0616,0.0,0.0
AC_SANTA ROSA DO PURUS,3607,0.0832,11.6717,0.0,5.2398,0.1386,0.0,46.3543,0.0277,0.0,36.4846,0.0,0.0
AC_SENA MADUREIRA,38736,0.2298,0.79,0.0955,1.3321,0.1007,0.0336,96.9202,0.0129,0.0,0.4802,0.0026,0.0026
AC_SENADOR GUIOMARD,21021,0.2426,0.7136,0.1047,0.9705,0.4091,0.0618,97.2932,0.0333,0.0,0.1332,0.0381,0.0
AC_TARAUACA,36571,0.2105,1.0637,0.0027,0.2844,0.4566,0.0629,95.2749,0.0137,0.0,2.6278,0.0027,0.0
AC_XAPURI,18192,0.2309,0.4672,0.0165,0.4562,0.1154,0.011,98.4114,0.011,0.0055,0.2693,0.0055,0.0
AL_AGUA BRANCA,20780,0.924,0.1107,0.0,0.9673,0.0144,0.0,97.9692,0.0096,0.0,0.0,0.0,0.0048
AL_ANADIA,19862,0.1309,0.0403,0.005,0.1007,0.0,0.005,99.6526,0.0101,0.0,0.0554,0.0,0.0
AL_ARAPIRACA,233689,0.1172,0.2884,0.0077,0.2277,0.0633,0.0043,99.1955,0.0625,0.0043,0.0282,0.0009,0.0
AL_ATALAIA,46221,0.1493,0.0822,0.0325,0.2228,0.0173,0.0065,99.4418,0.0346,0.0,0.0087,0.0022,0.0022
AL_BARRA DE SANTO ANTONIO,15033,0.0599,0.1996,0.0,0.2594,0.1863,0.0133,99.2217,0.02,0.0,0.0266,0.0067,0.0067
AL_BARRA DE SAO MIGUEL,8778,0.0911,0.1253,0.0114,0.3532,0.2734,0.0342,99.0772,0.0114,0.0,0.0228,0.0,0.0
AL_BATALHA,16446,0.0608,0.0547,0.0182,0.4196,0.0426,0.0,99.3494,0.0,0.0,0.0061,0.0,0.0486
AL_BELEM,6661,0.045,0.2552,0.0,0.0901,0.0,0.015,99.5346,0.0601,0.0,0.0,0.0,0.0
AL_BELO MONTE,6692,0.0299,0.4483,0.0,3.6013,0.0,0.0,95.9056,0.0,0.0,0.0,0.0149,0.0
AL_BOCA DA MATA,27996,0.1607,0.0964,0.0036,0.0893,0.0,0.0036,99.6321,0.0071,0.0,0.0071,0.0,0.0
AL_BRANQUINHA,12897,0.0233,0.1318,0.0,0.2559,0.0775,0.0,99.4883,0.0078,0.0,0.0155,0.0,0.0
AL_CACIMBINHAS,12239,0.4167,0.1062,0.0,0.9151,0.0082,0.0327,98.5048,0.0163,0.0,0.0,0.0,0.0
AL_CAJUEIRO,19825,0.2421,0.232,0.0,0.116,0.005,0.0101,99.3897,0.005,0.0,0.0,0.0,0.0
AL_CAMPESTRE,6343,0.0473,0.1261,0.0,0.1419,0.0158,0.0,99.6216,0.0315,0.0,0.0158,0.0,0.0
AL_CAMPO ALEGRE,34214,0.0438,0.1461,0.0,0.1929,0.0058,0.0205,99.5733,0.0029,0.0,0.0146,0.0,0.0
AL_CAMPO GRANDE,10427,0.0671,0.3165,0.0096,0.0575,0.2014,0.0,99.2807,0.0671,0.0,0.0,0.0,0.0
AL_CANAPI,17296,0.1041,0.0867,0.0,0.1099,0.0694,0.0,99.6242,0.0058,0.0,0.0,0.0,0.0
AL_CAPELA,21426,0.3827,0.056,0.0,0.1727,0.0233,0.0047,99.3466,0.0047,0.0,0.0093,0.0,0.0
AL_CARNEIROS,8306,0.0482,1.0715,0.0,0.0602,0.012,0.0,98.7359,0.0722,0.0,0.0,0.0,0.0
AL_CHA PRETA,8160,0.049,0.0368,0.0,0.0245,0.0245,0.0123,99.8529,0.0,0.0,0.0,0.0,0.0
AL_COITE DO NOIA,11183,0.2414,0.0894,0.0,0.0358,0.0715,0.0,99.5171,0.0447,0.0,0.0,0.0,0.0
AL_COLONIA LEOPOLDINA,20226,0.0692,0.3856,0.0,0.1681,0.0346,0.0,99.2831,0.0,0.0,0.0593,0.0,0.0
AL_COQUEIRO SECO,6862,0.0583,0.204,0.0,0.1312,0.0146,0.0,99.5337,0.0583,0.0,0.0,0.0,0.0
AL_CORURIPE,55375,0.0795,0.1896,0.0018,0.1535,0.0957,0.0,99.4402,0.009,0.0018,0.0289,0.0,0.0
AL_CRAIBAS,23062,0.0694,0.1604,0.0,0.2211,0.0087,0.0,99.536,0.0,0.0,0.0,0.0,0.0043
AL_DELMIRO GOUVEIA,47205,0.7711,0.2097,0.0085,0.6504,0.0699,0.0148,98.2057,0.053,0.0,0.0169,0.0,0.0
AL_DOIS RIACHOS,12140,0.6178,0.0906,0.0,0.1483,0.0329,0.0082,99.0774,0.0247,0.0,0.0,0.0,0.0
AL_ESTRELA DE ALAGOAS,14248,0.1263,0.0421,0.0,0.2386,0.014,0.0,99.5719,0.007,0.0,0.0,0.0,0.0
AL_FEIRA GRANDE,22405,0.0446,0.0803,0.0,0.125,0.0134,0.0045,99.692,0.0357,0.0,0.0,0.0045,0.0
AL_FELIZ DESERTO,4503,0.0444,0.3997,0.0,0.1555,0.0666,0.0,99.2894,0.0444,0.0,0.0,0.0,0.0
AL_FLEXEIRAS,12829,0.0702,0.1715,0.0,0.1949,0.0857,0.0,99.4388,0.0156,0.0,0.0156,0.0078,0.0
AL_GIRAU DO PONCIANO,30944,0.0259,0.0776,0.0,0.1002,0.0162,0.0032,99.7156,0.0614,0.0,0.0,0.0,0.0
AL_IBATEGUARA,19731,0.1672,0.1166,0.0,0.2686,0.1115,0.0,99.3107,0.0203,0.0,0.0051,0.0,0.0
AL_IGACI,29399,0.0408,0.1225,0.0306,0.1293,0.0102,0.0,99.653,0.0068,0.0,0.0068,0.0,0.0
AL_IGREJA NOVA,22718,0.537,0.0572,0.0,0.2773,0.0704,0.0,98.948,0.0308,0.0,0.0748,0.0044,0.0
AL_INHAPI,15423,0.0519,0.0389,0.0,0.2399,0.0,0.0,99.6564,0.0,0.0,0.013,0.0,0.0
AL_JACARE DOS HOMENS,5688,0.0,0.0879,0.0176,0.545,0.0352,0.0,99.3143,0.0,0.0,0.0,0.0,0.0
AL_JACUIPE,6049,0.0661,0.2314,0.0,0.3306,0.0,0.0,99.3222,0.0496,0.0,0.0,0.0,0.0
AL_JAPARATINGA,8604,0.0232,0.1976,0.0116,0.4649,0.1511,0.0116,99.1399,0.0,0.0,0.0,0.0,0.0
AL_JARAMATAIA,5386,0.0928,0.0371,0.0,0.4085,0.0,0.0,99.4059,0.0557,0.0,0.0,0.0,0.0
AL_JEQUIA DA PRAIA,3013,0.1991,0.0664,0.0,0.0996,0.0332,0.0,99.6017,0.0,0.0,0.0,0.0,0.0
AL_JOAQUIM GOMES,24915,0.1124,0.1967,0.0,0.0562,0.2529,0.0,99.3418,0.0281,0.0,0.012,0.0,0.0
AL_JUNDIA,6996,0.0858,0.1858,0.0,0.2287,0.0143,0.0,99.4282,0.0,0.0,0.0429,0.0143,0.0
AL_JUNQUEIRO,32349,0.0804,0.2659,0.0093,0.0866,0.0247,0.0,99.5116,0.0185,0.0,0.0,0.0031,0.0
AL_LAGOA DA CANOA,18409,0.0489,0.2499,0.0272,0.2281,0.0163,0.0,99.3916,0.0272,0.0,0.0054,0.0054,0.0
AL_LIMOEIRO DE ANADIA,21242,0.1036,0.1836,0.0,0.0471,0.0047,0.0094,99.581,0.0659,0.0,0.0047,0.0,0.0
AL_MACEIO,1057978,0.2108,0.3441,0.0236,0.5017,0.2506,0.0127,98.5661,0.0338,0.0021,0.0412,0.0115,0.0018
AL_MAJOR ISIDORO,19180,0.2503,0.3285,0.0052,0.1303,0.0156,0.0417,99.2179,0.0104,0.0,0.0,0.0,0.0
AL_MAR VERMELHO,4515,0.0443,0.0443,0.0221,0.0443,0.0,0.0,99.845,0.0,0.0,0.0,0.0,0.0
AL_MARAGOGI,24298,0.0617,0.1358,0.0123,0.3498,0.1893,0.0082,99.1892,0.0247,0.0,0.0082,0.0206,0.0
AL_MARAVILHA,10736,0.2422,0.8476,0.0,0.177,0.0093,0.0,98.7146,0.0093,0.0,0.0,0.0,0.0
AL_MARECHAL DEODORO,45336,0.1059,0.225,0.0154,0.3419,0.15,0.0066,99.1045,0.0199,0.0,0.0154,0.0132,0.0022
AL_MARIBONDO,17129,0.181,0.1927,0.0117,0.0584,0.0175,0.0,99.4629,0.0701,0.0,0.0058,0.0,0.0
AL_MATA GRANDE,20958,0.4151,0.0334,0.0048,0.334,0.0191,0.0143,99.1602,0.0191,0.0,0.0,0.0,0.0
AL_MATRIZ DE CAMARAGIBE,31291,0.032,0.1502,0.0,0.1502,0.179,0.0032,99.4311,0.0511,0.0,0.0032,0.0,0.0
AL_MESSIAS,19657,0.0763,0.1526,0.0,0.2035,0.0102,0.0,99.5371,0.0102,0.0,0.0102,0.0,0.0
AL_MINADOR DO NEGRAO,6556,0.061,0.3966,0.0,0.3966,0.0153,0.0,99.0696,0.061,0.0,0.0,0.0,0.0
AL_MONTEIROPOLIS,6860,0.0437,0.1458,0.0,0.0729,0.0437,0.0,99.6356,0.0583,0.0,0.0,0.0,0.0
AL_MURICI,31179,0.1443,0.093,0.0,0.1187,0.0225,0.0032,99.5414,0.0738,0.0,0.0032,0.0,0.0
AL_NOVO LINO,14276,0.07,0.3152,0.0,0.1191,0.028,0.007,99.4396,0.0,0.0,0.021,0.0,0.0
AL_OLHO D'AGUA DAS FLORES,21202,0.1038,0.3726,0.0,0.2028,0.0189,0.1556,99.1322,0.0094,0.0,0.0047,0.0,0.0
AL_OLHO D'AGUA DO CASADO,7585,0.0659,0.2505,0.0,0.857,0.1055,0.0,98.6948,0.0264,0.0,0.0,0.0,0.0
AL_OLHO D'AGUA GRANDE,5099,0.0981,0.2157,0.0,0.3138,0.0196,0.0,97.7839,1.5493,0.0,0.0,0.0196,0.0
AL_OLIVENCA,11331,0.1589,0.1324,0.0,0.1324,0.0618,0.0177,99.4881,0.0,0.0,0.0088,0.0,0.0
AL_OURO BRANCO,13173,0.0987,0.5921,0.0,0.038,0.0304,0.0,99.2333,0.0076,0.0,0.0,0.0,0.0
AL_PALESTINA,5701,0.5087,0.0351,0.0,1.2805,0.0,0.1228,98.0179,0.0351,0.0,0.0,0.0,0.0
AL_PALMEIRA DOS INDIOS,75600,0.2937,0.3294,0.0079,0.3122,0.041,0.0119,98.9788,0.0146,0.0,0.0093,0.0013,0.0
AL_PAO DE ACUCAR,30652,0.1207,0.336,0.0033,0.5318,0.0294,0.0,98.8973,0.0685,0.0,0.0098,0.0,0.0033
AL_PARICONHA,7907,1.1003,0.0632,0.0,0.4553,0.0253,0.0379,98.3179,0.0,0.0,0.0,0.0,0.0
AL_PARIPUEIRA,10061,0.0696,0.3678,0.0,0.8747,0.2385,0.0596,98.2209,0.1491,0.0,0.0099,0.0099,0.0
AL_PASSO DE CAMARAGIBE,14035,0.0214,0.0998,0.0,0.1924,0.0,0.0,99.6509,0.0143,0.0,0.0143,0.0071,0.0
AL_PAULO JACINTO,9309,0.1611,0.1719,0.0,0.1396,0.0,0.0107,99.5166,0.0,0.0,0.0,0.0,0.0
AL_PENEDO,65748,0.2494,0.2129,0.003,0.3224,0.0608,0.0289,99.0722,0.0106,0.0,0.035,0.0,0.0046
AL_PIACABUCU,17416,0.0919,0.557,0.0,0.9646,0.023,0.0057,98.3062,0.0459,0.0,0.0057,0.0,0.0
AL_PILAR,35240,0.1249,0.3717,0.0,0.2185,0.0255,0.0028,99.2225,0.0057,0.0,0.0057,0.0227,0.0
AL_PINDOBA,3420,0.117,0.117,0.0,0.117,0.0292,0.0292,99.5906,0.0,0.0,0.0,0.0,0.0
AL_PIRANHAS,20698,0.2126,0.343,0.0,0.7006,0.0338,0.0242,98.6231,0.0628,0.0,0.0,0.0,0.0
AL_POCO DAS TRINCHEIRAS,14664,0.0477,0.3069,0.0,0.225,0.0,0.0068,99.3999,0.0068,0.0,0.0068,0.0,0.0
AL_PORTO CALVO,28252,0.0673,0.138,0.0106,0.1239,0.0319,0.0035,99.6,0.0177,0.0,0.0071,0.0,0.0
AL_PORTO DE PEDRAS,8324,0.036,0.2523,0.0,0.2162,0.0481,0.0,99.4474,0.0,0.0,0.0,0.0,0.0
AL_PORTO REAL DO COLEGIO,19243,0.1455,0.2027,0.0156,0.2079,0.0935,0.0,99.2413,0.0468,0.0,0.0468,0.0,0.0
AL_QUEBRANGULO,14058,0.0427,0.1352,0.0,0.0782,0.0285,0.0427,99.6586,0.0142,0.0,0.0,0.0,0.0
AL_RIO LARGO,78331,0.1136,0.1379,0.0166,0.1864,0.046,0.0064,99.4664,0.0204,0.0,0.0064,0.0,0.0
AL_ROTEIRO,4094,0.0,0.0,0.0,0.0977,0.0,0.0,99.8779,0.0,0.0,0.0244,0.0,0.0
AL_SANTA LUZIA DO NORTE,7627,0.1311,0.2884,0.0,0.1049,0.0262,0.0,99.4493,0.0,0.0,0.0,0.0,0.0
AL_SANTANA DO IPANEMA,47238,0.1249,0.2477,0.0,0.2307,0.0466,0.0064,99.2887,0.0381,0.0,0.0169,0.0,0.0
AL_SANTANA DO MUNDAU,11984,0.0834,0.1836,0.0,0.3672,0.0083,0.0334,99.249,0.0,0.0,0.0751,0.0,0.0
AL_SAO BRAS,8073,0.2354,0.1858,0.0,0.1239,0.0372,0.0124,99.3435,0.0619,0.0,0.0,0.0,0.0
AL_SAO JOSE DA LAJE,30927,0.0679,0.0744,0.0032,0.2296,0.042,0.0032,99.5635,0.0097,0.0,0.0065,0.0,0.0
AL_SAO JOSE DA TAPERA,30895,0.0712,0.6474,0.0,0.0906,0.0291,0.0227,99.1196,0.0194,0.0,0.0,0.0,0.0
AL_SAO LUIS DO QUITUNDE,33480,0.0836,0.1045,0.0,0.3853,0.006,0.009,99.4026,0.009,0.0,0.0,0.0,0.0
AL_SAO MIGUEL DOS CAMPOS,35609,0.205,0.1685,0.0112,0.1769,0.0225,0.0168,99.3681,0.0056,0.0,0.0225,0.0028,0.0
AL_SAO MIGUEL DOS MILAGRES,6762,0.1035,0.0592,0.0,0.1627,0.0739,0.0,99.5563,0.0,0.0,0.0148,0.0296,0.0
